NAMESPACE            NAME                                                   READY   STATUS    RESTARTS   AGE
default              test-pod                                               1/1     Running   0          35m
kube-system          antrea-agent-bzzvl                                     2/2     Running   0          4h39m
kube-system          antrea-agent-crsvt                                     2/2     Running   0          4h39m
kube-system          antrea-agent-sgjb2                                     2/2     Running   0          4h39m
kube-system          antrea-controller-7db585f9f-crctp                      1/1     Running   0          4h39m
kube-system          coredns-5d78c9869d-cclh2                               1/1     Running   0          4h43m
kube-system          coredns-5d78c9869d-nkrtw                               1/1     Running   0          4h43m
kube-system          etcd-antrea-capture-control-plane                      1/1     Running   0          4h43m
kube-system          kube-apiserver-antrea-capture-control-plane            1/1     Running   0          4h43m
kube-system          kube-controller-manager-antrea-capture-control-plane   1/1     Running   0          4h43m
kube-system          kube-proxy-bnt5p                                       1/1     Running   0          4h43m
kube-system          kube-proxy-fpz7q                                       1/1     Running   0          4h43m
kube-system          kube-proxy-fqlgx                                       1/1     Running   0          4h43m
kube-system          kube-scheduler-antrea-capture-control-plane            1/1     Running   0          4h43m
kube-system          packet-capture-ghf8k                                   1/1     Running   0          44s
kube-system          packet-capture-n5kr7                                   1/1     Running   0          42s
local-path-storage   local-path-provisioner-6bc4bddd6b-zg8k8                1/1     Running   0          4h43m
